theme,executor,category,theme_id,executor_id,category_id
Неисправный светофор,Управление благоустройства города,Дороги,5,0,1
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Повреждение или отсутствие тротуаров,Администрация Шиловского муниципального района Рязанской области,Дороги,7,18,1
Неубранная контейнерная площадка,Префектура Московского района,Дворовая территория,12,2,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Советского района,Многоквартирные дома,18,3,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Некачественное содержание остановок общественного транспорта,Управление благоустройства города,Остановки общественного транспорта,3,0,3
Некачественное содержание детской площадки,Администрация Шиловского муниципального района Рязанской области,Дворовая территория,34,18,0
Ненадлежащий уход за зелеными насаждениями,Администрация Шиловского муниципального района Рязанской области,Дворовая территория,4,18,0
Нарушение закона при ведении деятельности управляющей организации/ТСЖ,Госжилинспекция,Многоквартирные дома,33,6,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Некачественное содержание детской площадки,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,34,1,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие дорожных знаков или дорожной разметки,Управление благоустройства города,Дороги,1,0,1
"Условия для массового отдыха, свободный доступ к водным объектам общего пользования и их береговым полосам",Управление благоустройства города,Городская территория,31,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Выполнение работ по капитальному ремонту,Фонд капитального ремонта многоквартирных домов Рязанской области,Многоквартирные дома,25,10,5
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Социальная поддержка льготных категорий граждан,Министерство труда и социальной защиты населения Рязанской области,Социальная защита,28,13,9
Социальная поддержка льготных категорий граждан,Министерство труда и социальной защиты населения Рязанской области,Социальная защита,28,13,9
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Повреждение или отсутствие ограждения автодорог,Управление благоустройства города,Дороги,15,0,1
"Условия для массового отдыха, свободный доступ к водным объектам общего пользования и их береговым полосам",Управление благоустройства города,Городская территория,31,0,2
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Проблемы свободного проезда и прохода для транспорта и пешеходов,Префектура Железнодорожного района,Дворовая территория,0,7,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Неубранная дворовая территория (мусор/снег),Префектура Железнодорожного района,Дворовая территория,32,7,0
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
Неубранная дворовая территория (мусор/снег),Префектура Железнодорожного района,Дворовая территория,32,7,0
Выполнение работ по капитальному ремонту,Фонд капитального ремонта многоквартирных домов Рязанской области,Многоквартирные дома,25,10,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Создание и реорганизация бесплатных парковок,Управление благоустройства города,Парковки,8,0,4
Повреждение или отсутствие ограждения автодорог,Управление благоустройства города,Дороги,15,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Октябрьского района,Многоквартирные дома,18,19,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Предоставление коммунальных услуг ненадлежащего качества,Администрация Шиловского муниципального района Рязанской области,Многоквартирные дома,21,18,5
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Нарушение закона при ведении деятельности управляющей организации/ТСЖ,Госжилинспекция,Многоквартирные дома,33,6,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Иные вопросы и предложения транспортного обслуживания,Управление транспорта,Общественный транспорт,29,16,10
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неубранная дворовая территория (мусор/снег),Префектура Советского района,Дворовая территория,32,3,0
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
Социальная поддержка льготных категорий граждан,Министерство труда и социальной защиты населения Рязанской области,Социальная защита,28,13,9
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Вопросы / предложения по застройке новых (планируемых) социальных объектов,Управление капитального строительства,Строительство,36,8,11
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Перебои/Отсутствие газоснабжения,Администрация Шиловского муниципального района Рязанской области,Многоквартирные дома,30,18,5
Неубранная контейнерная площадка,Префектура Советского района,Дворовая территория,12,3,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Октябрьского района,Многоквартирные дома,18,19,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Переселение из аварийного жилищного фонда,Управление капитального строительства,Права дольщиков и вопросы переселения,22,8,6
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Предоставление коммунальных услуг ненадлежащего качества,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,21,1,5
Повреждение или отсутствие дорожного покрытия,Администрация Шиловского муниципального района Рязанской области,Дороги,9,18,1
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Неисправность работы канализации,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,20,1,5
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Некачественное содержание детской площадки,Администрация Шиловского муниципального района Рязанской области,Дворовая территория,34,18,0
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Вопросы / предложения по застройке новых (планируемых) социальных объектов,Управление капитального строительства,Строительство,36,8,11
Перебои/Отсутствие теплоснабжения,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,13,1,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неубранная дворовая территория (мусор/снег),Префектура Железнодорожного района,Дворовая территория,32,7,0
Неубранная территория (мусор/снег),Управление благоустройства города,Городская территория,17,0,2
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Повреждение или отсутствие дорожного покрытия,Администрация Рыбновского муниципального района Рязанской области,Дороги,9,12,1
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Некачественное содержание инфраструктуры в парках,Администрация Рыбновского муниципального района Рязанской области,Парки,37,12,12
Ямы и выбоины во дворах,Администрация Кораблинского муниципального района Рязанской области,Дворовая территория,6,14,0
Некачественное содержание детской площадки,Администрация Кораблинского муниципального района Рязанской области,Дворовая территория,34,14,0
Оплата жилищно-коммунальных услуг,Администрация Кораблинского муниципального района Рязанской области,Многоквартирные дома,23,14,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Некачественное восстановление дворовой территории после разрытий,Префектура Московского района,Дворовая территория,27,2,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Некачественное содержание ливнёвой канализации,Управление благоустройства города,Дороги,38,0,1
Некачественное содержание ливнёвой канализации,Управление благоустройства города,Дороги,38,0,1
Неубранная дворовая территория (мусор/снег),Префектура Московского района,Дворовая территория,32,2,0
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Переселение из аварийного жилищного фонда,Администрация муниципального образования - городской округ город Скопин Рязанской области,Права дольщиков и вопросы переселения,22,20,6
Оплата жилищно-коммунальных услуг,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,23,1,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Некачественное содержание детской площадки,Администрация Старожиловского муниципального района Рязанской области,Дворовая территория,34,21,0
Некачественное содержание детской площадки,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,34,1,0
Ямы и выбоины во дворах,Управление энергетики и жилищно-коммунального хозяйства,Дворовая территория,6,1,0
Иные вопросы и предложения транспортного обслуживания,Управление транспорта,Общественный транспорт,29,16,10
Предоставление коммунальных услуг ненадлежащего качества,Администрация Кораблинского муниципального района Рязанской области,Многоквартирные дома,21,14,5
Переселение из аварийного жилищного фонда,Администрация Кораблинского муниципального района Рязанской области,Права дольщиков и вопросы переселения,22,14,6
Иные вопросы и предложения транспортного обслуживания,Администрация Кораблинского муниципального района Рязанской области,Общественный транспорт,29,14,10
Перебои/Отсутствие газоснабжения,Администрация Кораблинского муниципального района Рязанской области,Многоквартирные дома,30,14,5
Неисправность работы канализации,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,20,1,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Советского района,Многоквартирные дома,18,3,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Советского района,Дворовая территория,19,3,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Октябрьского района,Многоквартирные дома,18,19,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Советского района,Многоквартирные дома,18,3,5
Неубранная территория (мусор/снег),Управление благоустройства города,Городская территория,17,0,2
Некачественное содержание ливнёвой канализации,Управление благоустройства города,Дороги,38,0,1
Некачественное содержание ливнёвой канализации,Управление благоустройства города,Дороги,38,0,1
Некачественное содержание ливнёвой канализации,Управление благоустройства города,Дороги,38,0,1
Вопросы / предложения по застройке новых (планируемых) социальных объектов,Управление капитального строительства,Строительство,36,8,11
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Октябрьского района,Дворовая территория,19,19,0
Проблемы свободного проезда и прохода для транспорта и пешеходов,Префектура Железнодорожного района,Дворовая территория,0,7,0
Проблемы свободного проезда и прохода для транспорта и пешеходов,Префектура Железнодорожного района,Дворовая территория,0,7,0
Нарушение закона при ведении деятельности управляющей организации/ТСЖ,Госжилинспекция,Многоквартирные дома,33,6,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
Ненадлежащий уход за зелеными насаждениями,Администрация Кораблинского муниципального района Рязанской области,Дворовая территория,4,14,0
Некачественное содержание ливнёвой канализации,Администрация муниципального образования - городской округ город Скопин Рязанской области,Дороги,38,20,1
Иные вопросы и предложения транспортного обслуживания,Управление транспорта,Общественный транспорт,29,16,10
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Повреждение или отсутствие дорожного покрытия,Управление благоустройства города,Дороги,9,0,1
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Неубранная дворовая территория (мусор/снег),Префектура Железнодорожного района,Дворовая территория,32,7,0
Неубранная территория (мусор/снег),Управление благоустройства города,Городская территория,17,0,2
Повреждение или отсутствие тротуаров,Управление благоустройства города,Дороги,7,0,1
Некачественное содержание ливнёвой канализации,Администрация Рыбновского муниципального района Рязанской области,Дороги,38,12,1
Предоставление коммунальных услуг ненадлежащего качества,Администрация Кораблинского муниципального района Рязанской области,Многоквартирные дома,21,14,5
Повреждение или отсутствие дорожного покрытия,Администрация Рыбновского муниципального района Рязанской области,Дороги,9,12,1
Некачественное содержание инфраструктуры в парках,Администрация муниципального образования - городской округ город Скопин Рязанской области,Парки,37,20,12
Повреждение или отсутствие дорожного покрытия,Администрация муниципального образования - городской округ город Скопин Рязанской области,Дороги,9,20,1
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Не работает уличное освещение,Администрация Старожиловского муниципального района Рязанской области,Городская территория,2,21,2
Перебои/Отсутствие газоснабжения,Администрация муниципального образования - городской округ город Скопин Рязанской области,Многоквартирные дома,30,20,5
Не работает уличное освещение,Управление благоустройства города,Городская территория,2,0,2
Некачественное содержание инфраструктуры в парках,Управление благоустройства города,Парки,37,0,12
Некачественное содержание инфраструктуры в парках,Управление благоустройства города,Парки,37,0,12
Повреждение или отсутствие ограждения автодорог,Управление благоустройства города,Дороги,15,0,1
Не работает информационное электронное табло,Управление благоустройства города,Остановки общественного транспорта,39,0,3
Создание и реорганизация бесплатных парковок,Управление благоустройства города,Парковки,8,0,4
Оплата жилищно-коммунальных услуг,Управление энергетики и жилищно-коммунального хозяйства,Многоквартирные дома,23,1,5
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Советского района,Многоквартирные дома,18,3,5
Неисправное освещение на проезжей части,Управление благоустройства города,Дороги,35,0,1
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Неубранная территория (мусор/снег),Управление благоустройства города,Городская территория,17,0,2
"Несанкционированные объявления, надписи и рисунки на фасадах",Префектура Железнодорожного района,Многоквартирные дома,18,7,5
Надписи и рисунки на заборах и дворовых сооружениях,Префектура Железнодорожного района,Дворовая территория,19,7,0
